ID,Subject,Total,proba_echec
1833,الفيزياء الحديثة,0.0,0.9999696
2560,الفيزياء الحديثة,0.0,0.9999696
Unknown,الرسم الهندسي,27.0,0.88670826
203152,الكيمياء الصناعية,0.0,0.9999696
Unknown,الرسم الهندسي,16.0,0.9425756
203037,الكيمياء الصناعية,0.0,0.9999696
203011,الكيمياء الصناعية,0.0,0.9999696
203026,الكيمياء الصناعية,0.0,0.9999696
203029,الكيمياء الصناعية,0.0,0.9999696
203088,الكيمياء الصناعية,0.0,0.9999696
203192,الكيمياء الصناعية,0.0,0.9999696
203104,الكيمياء الصناعية,0.0,0.9999696
205162,الكيمياء الصناعية,0.0,0.9999696
205141,الكيمياء الصناعية,0.0,0.9999696
205027,الكيمياء الصناعية,0.0,0.9999696
Unknown,الرسم الهندسي,12.0,0.9554713
205204,الكيمياء الصناعية,0.0,0.9999696
Unknown,الرسم الهندسي,12.0,0.9554713
205134,الكيمياء الصناعية,0.0,0.9999696
205050,الكيمياء الصناعية,0.0,0.9999696
Unknown,الرسم الهندسي,12.0,0.9554713
Unknown,الرسم الهندسي,12.0,0.9554713
203159,الكيمياء الصناعية,0.0,0.9999696
203045,الكيمياء الصناعية,0.0,0.9999696
203047,الكيمياء الصناعية,0.0,0.9999696
203133,الكيمياء الصناعية,0.0,0.9999696
203008,الكيمياء الصناعية,0.0,0.9999696
203194,الكيمياء الصناعية,0.0,0.9999696
203176,الكيمياء الصناعية,0.0,0.9999696
Unknown,الرسم الهندسي,8.0,0.9999696
203155,الكيمياء الصناعية,0.0,0.9999696
203027,الكيمياء الصناعية,0.0,0.9999696
Unknown,الرسم الهندسي,6.0,0.9999696
203179,الكيمياء الصناعية,0.0,0.9999696
203185,الكيمياء الصناعية,0.0,0.9999696
203140,الكيمياء الصناعية,0.0,0.9999696
203109,الكيمياء الصناعية,0.0,0.9999696
205132,الكيمياء الصناعية,0.0,0.9999696
Unknown,الرسم الهندسي,6.0,0.9999696
Unknown,الرسم الهندسي,5.0,0.9999696
Unknown,الرسم الهندسي,5.0,0.9999696
205159,الكيمياء الصناعية,0.0,0.9999696
205036,الكيمياء الصناعية,0.0,0.9999696
205047,الكيمياء الصناعية,0.0,0.9999696
205035,الكيمياء الصناعية,0.0,0.9999696
205193,الكيمياء الصناعية,0.0,0.9999696
205078,الكيمياء الصناعية,0.0,0.9999696
205163,الكيمياء الصناعية,0.0,0.9999696
3090,مبادئ الهندسة الكهربائية,0.0,0.9999696
3056,مبادئ الهندسة الكهربائية,0.0,0.9999696
205196,الكيمياء الصناعية,0.0,0.9999696
203085,الكيمياء الصناعية,18.0,0.95811564
203099,الكيمياء الصناعية,6.0,0.9999696
205122,الكيمياء الصناعية,0.0,0.9999696
205090,الكيمياء الصناعية,0.0,0.9999696
203005,الكيمياء الصناعية,22.0,0.95811564
205205,الكيمياء الصناعية,0.0,0.9999696
205098,الكيمياء الصناعية,0.0,0.9999696
201041,مبادئ الهندسة الكهربائية,0.0,0.9999696
203157,الكيمياء الصناعية,9.0,0.9999696
201132,مبادئ الهندسة الكهربائية,0.0,0.9999696
191011,مبادئ الهندسة الكهربائية,0.0,0.9999696
205124,الكيمياء الصناعية,9.0,0.9999696
203149,الكيمياء الصناعية,12.0,0.9777233
204014,اللغة العربية,0.0,0.9999696
204108,اللغة العربية,0.0,0.9999696
206161,ميكانيك هندسي,0.0,0.9999696
204006,اللغة العربية,0.0,0.9999696
206140,ميكانيك هندسي,0.0,0.9999696
206048,ميكانيك هندسي,0.0,0.9999696
204092,اللغة العربية,0.0,0.9999696
204018,اللغة العربية,0.0,0.9999696
206037,ميكانيك هندسي,0.0,0.9999696
204117,اللغة العربية,0.0,0.9999696
204081,اللغة العربية,0.0,0.9999696
206106,ميكانيك هندسي,0.0,0.9999696
204044,اللغة العربية,0.0,0.9999696
204078,اللغة العربية,0.0,0.9999696
206111,ميكانيك هندسي,0.0,0.9999696
204023,اللغة العربية,0.0,0.9999696
204074,اللغة العربية,0.0,0.9999696
204079,اللغة العربية,0.0,0.9999696
204003,اللغة العربية,0.0,0.9999696
204084,اللغة العربية,0.0,0.9999696
206022,ميكانيك هندسي,0.0,0.9999696
204077,اللغة العربية,0.0,0.9999696
204068,اللغة العربية,0.0,0.9999696
