ID,Average_Grade,Total_Failures,Total_Courses,Avg_Practical,Avg_Theoretical,Failure_Rate,Absence_Count,Cluster
5,39.5,0,2,6.5,33.0,0.0,0.0,0
55,35.333333333333336,0,3,16.333333333333332,19.0,0.0,0.0,3
210,73.0,0,3,16.0,57.0,0.0,0.0,3
213,0.0,14,14,0.0,0.0,100.0,6.0,1
219,42.5,0,2,17.5,25.0,0.0,0.0,3
269,50.0,0,1,10.0,40.0,0.0,0.0,0
274,10.0,1,1,10.0,0.0,100.0,1.0,1
290,61.0,0,1,26.0,35.0,0.0,0.0,3
299,75.0,0,1,10.0,65.0,0.0,0.0,0
330,77.0,0,1,17.0,60.0,0.0,0.0,3
375,54.625,1,8,18.875,35.75,12.5,1.0,3
383,75.33333333333333,0,3,25.333333333333332,50.0,0.0,0.0,3
451,49.0,0,1,14.0,35.0,0.0,0.0,3
472,39.0,0,2,18.0,21.0,0.0,0.0,3
474,6.222222222222222,8,9,4.555555555555555,1.6666666666666667,88.88888888888889,3.0,1
531,51.0,1,7,16.857142857142858,34.142857142857146,14.285714285714285,0.0,3
543,53.25,0,4,19.25,34.0,0.0,0.0,3
551,50.875,2,8,18.875,32.0,25.0,2.0,3
589,57.4,0,5,0.0,57.4,0.0,0.0,0
598,63.333333333333336,0,6,17.666666666666668,45.666666666666664,0.0,0.0,3
615,38.6,2,5,11.0,27.6,40.0,2.0,0
622,39.5,1,2,15.0,24.5,50.0,1.0,3
627,62.0,0,3,19.0,43.0,0.0,0.0,3
635,59.0,0,14,9.214285714285714,49.785714285714285,0.0,0.0,0
650,76.0,0,1,23.0,53.0,0.0,0.0,3
674,52.166666666666664,2,12,9.0,43.166666666666664,16.666666666666664,2.0,0
679,57.0,0,1,12.0,45.0,0.0,0.0,0
717,66.75,0,4,27.5,39.25,0.0,0.0,3
737,58.0,0,3,21.0,37.0,0.0,0.0,3
742,78.0,0,1,15.0,63.0,0.0,0.0,0
752,8.333333333333334,3,3,8.333333333333334,0.0,100.0,3.0,1
759,73.33333333333333,0,3,21.0,52.333333333333336,0.0,0.0,3
760,54.0,0,1,18.0,36.0,0.0,0.0,3
761,81.0,0,1,18.0,63.0,0.0,0.0,3
763,41.6,2,5,15.2,26.4,40.0,1.0,3
767,35.666666666666664,0,6,13.0,22.666666666666668,0.0,0.0,3
779,48.333333333333336,0,6,20.666666666666668,27.666666666666668,0.0,0.0,3
781,51.0,0,3,19.0,32.0,0.0,0.0,3
782,25.5,1,2,10.5,15.0,50.0,1.0,1
806,2.0,1,1,2.0,0.0,100.0,0.0,1
841,67.0,0,1,20.0,47.0,0.0,0.0,3
862,63.5,0,2,26.0,37.5,0.0,0.0,3
868,60.333333333333336,0,3,16.333333333333332,44.0,0.0,0.0,3
875,67.0,0,1,0.0,67.0,0.0,0.0,0
888,54.666666666666664,0,3,20.666666666666668,34.0,0.0,0.0,3
905,50.8,0,5,19.4,31.4,0.0,0.0,3
906,74.0,0,1,0.0,74.0,0.0,0.0,0
908,53.473684210526315,0,19,15.68421052631579,37.78947368421053,0.0,0.0,3
910,72.0,0,2,18.5,53.5,0.0,0.0,3
912,60.0,0,1,18.0,42.0,0.0,0.0,3
914,62.0,0,6,13.666666666666666,48.333333333333336,0.0,0.0,0
917,60.0,0,2,15.0,45.0,0.0,0.0,3
921,42.125,1,8,12.875,29.25,12.5,1.0,3
923,68.57142857142857,0,7,20.714285714285715,47.857142857142854,0.0,0.0,3
924,37.233333333333334,8,30,12.0,25.233333333333334,26.666666666666668,4.0,2
925,52.25,0,4,12.75,39.5,0.0,0.0,0
927,56.333333333333336,0,3,29.0,27.333333333333332,0.0,0.0,3
928,73.0,0,1,17.0,56.0,0.0,0.0,3
929,68.5,0,2,24.0,44.5,0.0,0.0,3
933,51.8125,1,16,17.5,34.3125,6.25,0.0,3
936,56.142857142857146,0,7,16.714285714285715,39.42857142857143,0.0,0.0,3
938,37.206896551724135,6,29,9.586206896551724,27.620689655172413,20.689655172413794,1.0,2
940,76.0,0,1,15.0,61.0,0.0,0.0,0
941,28.9,13,40,10.2,18.7,32.5,10.0,2
942,51.083333333333336,2,12,18.916666666666668,32.166666666666664,16.666666666666664,1.0,3
943,60.0,0,1,23.0,37.0,0.0,0.0,3
945,43.0,1,7,19.142857142857142,23.857142857142858,14.285714285714285,0.0,3
954,50.0,0,6,20.166666666666668,29.833333333333332,0.0,0.0,3
955,47.8,2,10,17.9,29.9,20.0,2.0,3
956,69.5,0,4,20.5,49.0,0.0,0.0,3
958,53.0,0,2,14.0,39.0,0.0,0.0,0
959,46.55555555555556,1,9,18.333333333333332,28.22222222222222,11.11111111111111,1.0,3
960,84.0,0,1,23.0,61.0,0.0,0.0,3
961,95.66666666666667,0,6,28.166666666666668,67.5,0.0,0.0,3
